spot,doc_freq,sentiment_score,network_status,cluster_label,kkday_status
"瑞鳳殿",15,0.5897,"網絡節點","東北自然圈",""
"千秋公園",15,0.5645,"網絡節點","其他群集",""
"阿蘇神社",15,0.5435,"網絡節點","九州自然圈",""
"支笏湖",15,0.5215,"網絡節點","北海道道南圈",""
"水前寺成趣園",15,0.5081,"網絡節點","九州自然圈",""
"東寺",15,0.5066,"網絡節點","京阪圈",""
"猊鼻溪",15,0.4835,"網絡節點","東北自然圈",""
"迪士尼樂園",15,0.477,"網絡節點","其他群集",""
"富山",15,0.4267,"網絡節點","中部日本圈",""
"赤間神宮",15,0.3987,"網絡節點","九州自然圈",""
"瀨戶內海",14,0.7236,"孤立","孤立節點",""
"大觀峰",14,0.7018,"網絡節點","其他群集",""
"高千穗神社",14,0.6741,"網絡節點","九州自然圈",""
"樂高樂園",14,0.6699,"網絡節點","伊勢・熊野圈",""
"尾山神社",14,0.6585,"網絡節點","中部日本圈",""
"萬座毛",14,0.6028,"網絡節點","其他群集",""
"五稜郭塔",14,0.6015,"網絡節點","北海道道南圈",""
"高尾山",14,0.5832,"網絡節點","東京周邊圈",""
"日光東照宮",14,0.5789,"網絡節點","關東山區溫泉圈",""
"廣島城",14,0.5647,"網絡節點","宮島・神戶圈",""
"淺間神社",14,0.5611,"網絡節點","富士山圈",""
"白川鄉",14,0.5425,"網絡節點","中部日本圈",""
"鋼彈",14,0.542,"孤立","孤立節點",""
"湯之坪街道",14,0.5399,"網絡節點","九州自然圈",""
"直島",14,0.5277,"網絡節點","瀨戶內海島圈",""
"阿蘇",14,0.5222,"網絡節點","九州自然圈",""
"勝烈亭",14,0.5181,"網絡節點","九州自然圈",""
"五稜郭公園",14,0.4966,"網絡節點","北海道道南圈",""
"美女與野獸",14,0.4931,"網絡節點","其他群集",""
"阿美橫町",14,0.4806,"網絡節點","東京周邊圈",""
"尾道",14,0.4731,"網絡節點","宮島・神戶圈",""
"纜車",14,0.4655,"孤立","孤立節點",""
"古宇利島",14,0.4653,"網絡節點","其他群集",""
"神社",14,0.4396,"孤立","孤立節點",""
"丸龜城",14,0.3351,"網絡節點","瀨戶內海島圈",""
"武雄神社",13,0.6337,"網絡節點","九州自然圈",""
"大濠公園",13,0.6284,"網絡節點","九州自然圈",""
"玉造溫泉",13,0.6276,"網絡節點","山陰圈",""
"白金青池",13,0.619,"網絡節點","北海道道南圈",""
"二荒山神社",13,0.616,"網絡節點","關東山區溫泉圈",""
"貴船神社",13,0.6141,"網絡節點","京阪圈",""
"住吉神社",13,0.5843,"孤立","孤立節點",""
"毛越寺",13,0.5759,"網絡節點","東北自然圈",""
"由布岳",13,0.5668,"網絡節點","九州自然圈",""
"海地獄",13,0.5599,"網絡節點","其他群集",""
"綠洲21",13,0.5552,"網絡節點","伊勢・熊野圈",""
"東福寺",13,0.5514,"網絡節點","京阪圈",""
"白川鄉合掌村",13,0.5501,"網絡節點","中部日本圈",""
"勝尾寺",13,0.5433,"網絡節點","伊勢・熊野圈",""
"岐阜城",13,0.5249,"網絡節點","伊勢・熊野圈",""
"上色見熊野座神社",13,0.5218,"網絡節點","九州自然圈",""
"麻布台之丘",13,0.5134,"網絡節點","東京周邊圈",""
"北海道大學",13,0.5114,"網絡節點","北海道道南圈",""
"名花之里",13,0.5049,"網絡節點","中部日本圈",""
"東茶屋街",13,0.4976,"網絡節點","中部日本圈",""
"鳥居",13,0.4878,"網絡節點","富士山圈",""
"海遊館",13,0.4803,"網絡節點","其他群集",""
"21世紀美術館",13,0.4755,"網絡節點","中部日本圈",""
"生田神社",13,0.448,"網絡節點","宮島・神戶圈",""
"國際通",13,0.4399,"網絡節點","其他群集",""
"成田",13,0.3954,"網絡節點","富士山圈",""
"蜘蛛人",13,0.3176,"網絡節點","其他群集",""
"阿智神社",12,0.6783,"網絡節點","宮島・神戶圈",""
"五大堂",12,0.666,"網絡節點","東北自然圈",""
"松江花鳥園",12,0.6629,"網絡節點","山陰圈",""
"精進湖",12,0.6582,"網絡節點","富士山圈",""
"熊野座神社",12,0.646,"網絡節點","九州自然圈",""
"御殿場",12,0.6435,"網絡節點","富士山圈",""
"石浦神社",12,0.6428,"網絡節點","中部日本圈",""
"一蘭",12,0.6329,"網絡節點","九州自然圈",""
"上野恩賜公園",12,0.6295,"網絡節點","東京周邊圈",""
"弘前公園",12,0.6279,"網絡節點","東北自然圈",""
"東照宮",12,0.6277,"網絡節點","關東山區溫泉圈",""
"祇園",12,0.626,"網絡節點","京阪圈",""
"元乃隅神社",12,0.621,"網絡節點","其他群集",""
"角島大橋",12,0.6174,"網絡節點","其他群集",""
"草莓",12,0.6136,"網絡節點","京阪圈",""
"高山陣屋",12,0.5948,"網絡節點","中部日本圈",""
"高山老街",12,0.5864,"網絡節點","中部日本圈",""
"平湯溫泉",12,0.5817,"網絡節點","中部日本圈",""
"西湖",12,0.581,"網絡節點","富士山圈",""
"白兔神社",12,0.5785,"網絡節點","山陰圈",""
"會津若松",12,0.5756,"網絡節點","其他群集",""
"SHIBUYA SKY",12,0.5681,"孤立","孤立節點",""
"蘆之湖",12,0.5636,"網絡節點","富士山圈",""
"奧入瀨溪",12,0.5595,"網絡節點","東北自然圈",""
"稻佐之濱",12,0.5558,"網絡節點","山陰圈",""
"札幌電視塔",12,0.54,"網絡節點","北海道道南圈",""
"中島公園",12,0.5319,"網絡節點","北海道道南圈",""
"歌舞伎町",12,0.5192,"網絡節點","東京周邊圈",""
"知床五湖",12,0.5117,"網絡節點","其他群集",""
"竹林小徑",12,0.511,"網絡節點","京阪圈",""
"吉卜力公園",12,0.5087,"網絡節點","伊勢・熊野圈",""
"吉備津神社",12,0.4955,"網絡節點","宮島・神戶圈",""
"天滿宮",12,0.4907,"網絡節點","京阪圈",""
"大須觀音",12,0.4884,"網絡節點","中部日本圈",""
"大室山",12,0.4865,"網絡節點","富士山圈",""
"川越",12,0.4783,"網絡節點","富士山圈",""
"難波",12,0.4643,"網絡節點","京阪圈",""
"首里城",12,0.4506,"網絡節點","其他群集",""
"河內藤園",12,0.448,"網絡節點","九州自然圈",""
"鶴岡八幡宮",12,0.4472,"網絡節點","東京周邊圈",""
"京都塔",12,0.4314,"網絡節點","京阪圈",""
"玉泉洞",12,0.4002,"網絡節點","其他群集",""
"下關",12,0.3898,"網絡節點","九州自然圈",""
"熱海",12,0.3622,"網絡節點","富士山圈",""
"金森倉庫",12,0.3615,"網絡節點","北海道道南圈",""
"油菜花",11,0.7468,"網絡節點","其他群集",""
"昭和紀念公園",11,0.704,"孤立","孤立節點",""
"熊本熊",11,0.6753,"網絡節點","九州自然圈",""
"櫻花樹",11,0.6679,"孤立","孤立節點",""
"明石海峽大橋",11,0.6518,"網絡節點","宮島・神戶圈",""
"金澤城公園",11,0.6465,"網絡節點","中部日本圈",""
"眼鏡橋",11,0.6375,"網絡節點","其他群集",""
"大內宿",11,0.596,"網絡節點","其他群集",""
"城崎溫泉",11,0.5868,"網絡節點","其他群集",""
"銀閣寺",11,0.5793,"網絡節點","京阪圈",""
"新倉富士淺間神社",11,0.5744,"網絡節點","富士山圈",""
"企鵝",11,0.568,"網絡節點","其他群集",""
"仙台城跡",11,0.5674,"網絡節點","東北自然圈",""
"鵜戶神宮",11,0.5672,"網絡節點","九州自然圈",""
"雨晴海岸",11,0.5646,"網絡節點","中部日本圈",""
"表參道",11,0.5641,"網絡節點","九州自然圈",""
"藏王",11,0.5631,"網絡節點","東北自然圈",""
"白川水源",11,0.5565,"網絡節點","九州自然圈",""
"諏訪神社",11,0.5547,"網絡節點","其他群集",""
"神戶動物王國",11,0.5534,"網絡節點","宮島・神戶圈",""
"小田原城",11,0.5531,"孤立","孤立節點",""
"霧島神宮",11,0.5495,"網絡節點","九州自然圈",""
"偕樂園",11,0.5495,"網絡節點","宮島・神戶圈",""
"豪斯登堡",11,0.5493,"網絡節點","九州自然圈",""
"大白鯊",11,0.5457,"網絡節點","其他群集",""
"睡魔之家",11,0.5299,"網絡節點","其他群集",""
"稻荷神社",11,0.5255,"孤立","孤立節點",""
"住吉大社",11,0.5208,"網絡節點","伊勢・熊野圈",""
"仙巖園",11,0.5134,"網絡節點","九州自然圈",""
"奧之院",11,0.5116,"網絡節點","其他群集",""
"六本木",11,0.4876,"網絡節點","東京周邊圈",""
"京都御苑",11,0.4487,"網絡節點","京阪圈",""
"淡路島",11,0.4484,"網絡節點","宮島・神戶圈",""
"白山神社",11,0.4438,"網絡節點","其他群集",""
"岩國城",11,0.4288,"網絡節點","宮島・神戶圈",""
"鹽竈神社",11,0.4173,"網絡節點","東北自然圈",""
"水世界",11,0.4157,"網絡節點","其他群集",""
"野宮神社",11,0.4133,"網絡節點","京阪圈",""
"小倉",11,0.4021,"網絡節點","九州自然圈",""
"地獄谷",11,0.3916,"網絡節點","其他群集",""
"北野天滿宮",10,0.7219,"網絡節點","京阪圈",""
"真名井瀑布",10,0.659,"網絡節點","九州自然圈",""
"瀨戶大橋",10,0.6396,"孤立","孤立節點",""
"森林精靈露台",10,0.6325,"網絡節點","北海道道南圈",""
"大沼公園",10,0.5931,"孤立","孤立節點",""
"竹林",10,0.5863,"網絡節點","京阪圈",""
"電視塔",10,0.5845,"孤立","孤立節點",""
"天神地下街",10,0.5812,"網絡節點","九州自然圈",""
"八重垣神社",10,0.5806,"網絡節點","山陰圈",""
"代代木公園",10,0.5783,"網絡節點","東京周邊圈",""
"旭川動物園",10,0.5775,"網絡節點","北海道道南圈",""
"東本願寺",10,0.5772,"網絡節點","京阪圈",""
"雲場池",10,0.5718,"網絡節點","東京周邊圈",""
"高台寺",10,0.5629,"網絡節點","京阪圈",""
"吉野櫻",10,0.5621,"孤立","孤立節點",""
"日本橋",10,0.561,"孤立","孤立節點",""
"吉祥寺",10,0.5591,"網絡節點","九州自然圈",""
"大步危",10,0.5558,"網絡節點","瀨戶內海島圈",""
"蕎麥麵",10,0.5535,"網絡節點","富士山圈",""
"戶隱神社",10,0.5441,"網絡節點","中部日本圈",""
"旋轉木馬",10,0.5395,"孤立","孤立節點",""
"伊根舟屋",10,0.5382,"網絡節點","其他群集",""
"層雲峽",10,0.5381,"孤立","孤立節點",""
"圓山公園",10,0.5374,"網絡節點","北海道道南圈",""
"天神",10,0.5335,"網絡節點","九州自然圈",""
"盛岡",10,0.5306,"孤立","孤立節點",""
"佐渡島",10,0.5289,"網絡節點","其他群集",""
"箱根神社",10,0.5187,"網絡節點","富士山圈",""
"旭岳",10,0.5103,"網絡節點","其他群集",""
"藻岩山",10,0.5036,"網絡節點","北海道道南圈",""
"氣比神宮",10,0.4975,"網絡節點","中部日本圈",""
"冰川神社",10,0.4925,"網絡節點","富士山圈",""
"伊根",10,0.4908,"網絡節點","其他群集",""
"福岡塔",10,0.4869,"網絡節點","九州自然圈",""
"日本館",10,0.4745,"網絡節點","其他群集",""
"日枝神社",10,0.4573,"孤立","孤立節點",""
"永平寺",10,0.4172,"網絡節點","中部日本圈",""
"佐世保",10,0.4065,"網絡節點","九州自然圈",""
"五合目",10,0.3482,"網絡節點","富士山圈",""
"柳川",10,0.3369,"網絡節點","九州自然圈",""
"日川時計店",9,0.7433,"網絡節點","富士山圈",""
"繪馬",9,0.7271,"孤立","孤立節點",""
"枝垂櫻",9,0.7231,"網絡節點","其他群集",""
"倉敷美觀地區",9,0.7172,"網絡節點","宮島・神戶圈",""
"名古屋電視塔",9,0.7035,"網絡節點","伊勢・熊野圈",""
"嬉野溫泉",9,0.6619,"網絡節點","九州自然圈",""
"六花亭",9,0.6586,"孤立","孤立節點",""
"夫婦岩",9,0.6367,"網絡節點","伊勢・熊野圈",""
"護城河",9,0.6329,"孤立","孤立節點",""
"Shibuya Sky",9,0.6201,"孤立","孤立節點",""
"地中美術館",9,0.6128,"網絡節點","瀨戶內海島圈",""
"奈良井宿",9,0.6038,"網絡節點","中部日本圈",""
"唐吉訶德",9,0.5998,"孤立","孤立節點",""
"高千穗",9,0.5968,"網絡節點","九州自然圈",""
"白鬚神社",9,0.5927,"網絡節點","其他群集",""
"護國神社",9,0.5784,"孤立","孤立節點",""
"神戶港",9,0.5699,"網絡節點","宮島・神戶圈",""
"隅田川",9,0.5658,"網絡節點","東京周邊圈",""
"大湧谷",9,0.565,"網絡節點","富士山圈",""
"武家屋敷",9,0.5633,"孤立","孤立節點",""
"善光寺",9,0.5614,"網絡節點","中部日本圈",""
"六義園",9,0.5467,"孤立","孤立節點",""
"大阪城公園",9,0.5422,"網絡節點","京阪圈",""
"日光",9,0.5402,"網絡節點","關東山區溫泉圈",""
"天使之路",9,0.5389,"網絡節點","瀨戶內海島圈",""
"宗谷岬",9,0.5201,"網絡節點","其他群集",""
"千本鳥居",9,0.5172,"網絡節點","京阪圈",""
"立石公園",9,0.5093,"網絡節點","中部日本圈",""
"西本願寺",9,0.5078,"網絡節點","京阪圈",""
"秋芳洞",9,0.5043,"網絡節點","其他群集",""
"鬼怒川溫泉",9,0.4884,"網絡節點","關東山區溫泉圈",""
"青島神社",9,0.4675,"網絡節點","九州自然圈",""
"醍醐寺",9,0.4621,"網絡節點","京阪圈",""
"箱根湯本",9,0.461,"網絡節點","富士山圈",""
"八幡坂",9,0.4531,"網絡節點","北海道道南圈",""
"禁忌之旅",9,0.435,"網絡節點","其他群集",""
"橫濱鋼彈工廠",9,0.4334,"網絡節點","其他群集",""
"春帆樓",9,0.4261,"網絡節點","九州自然圈",""
"盛岡城跡公園",9,0.3834,"網絡節點","其他群集",""
"稚內",9,0.3723,"網絡節點","其他群集",""
"四天王寺",9,0.3274,"網絡節點","京阪圈",""
"手水舍",8,0.7887,"孤立","孤立節點",""
"二見興玉神社",8,0.7079,"網絡節點","伊勢・熊野圈",""
"瑞巖寺",8,0.695,"網絡節點","東北自然圈",""
"梅枝餅",8,0.6719,"網絡節點","九州自然圈",""
"霜淇淋",8,0.6682,"孤立","孤立節點",""
"伏見稻荷神社",8,0.6665,"網絡節點","京阪圈",""
"圓通院",8,0.6639,"網絡節點","東北自然圈",""
"新穗高纜車",8,0.6606,"孤立","孤立節點",""
"嚴美溪",8,0.6509,"網絡節點","東北自然圈",""
"明石大橋",8,0.6435,"網絡節點","宮島・神戶圈",""
"瑞嚴寺",8,0.6379,"網絡節點","東北自然圈",""
"富士急樂園",8,0.6371,"網絡節點","富士山圈",""
"備中松山城",8,0.6328,"孤立","孤立節點",""
"三年坂",8,0.6304,"網絡節點","京阪圈",""
"超級任天堂世界",8,0.6283,"網絡節點","其他群集",""
"傘松公園",8,0.6247,"網絡節點","其他群集",""
"船岡城址公園",8,0.6089,"網絡節點","其他群集",""
"仁和寺",8,0.5996,"網絡節點","京阪圈",""
"戰場之原",8,0.5974,"網絡節點","關東山區溫泉圈",""
"天空鳥居",8,0.5953,"網絡節點","瀨戶內海島圈",""
"新倉山淺間公園",8,0.5928,"網絡節點","富士山圈",""
"富田農場",8,0.5912,"網絡節點","北海道道南圈",""
"弘人市場",8,0.5897,"網絡節點","瀨戶內海島圈",""
"二條城",8,0.5874,"網絡節點","京阪圈",""
"島波海道",8,0.5873,"網絡節點","宮島・神戶圈",""
"佐賀",8,0.5822,"網絡節點","九州自然圈",""
"驚魂古塔",8,0.571,"網絡節點","其他群集",""
"鳴門漩渦",8,0.5669,"網絡節點","其他群集",""
"耀西",8,0.5561,"網絡節點","其他群集",""
"立山",8,0.5531,"網絡節點","其他群集",""
"彩虹大橋",8,0.5491,"網絡節點","東京周邊圈",""
"殘波岬",8,0.5486,"網絡節點","其他群集",""
"稻佐山",8,0.5485,"網絡節點","九州自然圈",""
"黑門市場",8,0.5364,"網絡節點","京阪圈",""
"竈門神社",8,0.5348,"網絡節點","九州自然圈",""
"硫磺山",8,0.5344,"網絡節點","其他群集",""
"博多站",8,0.5293,"孤立","孤立節點",""
"植田正治攝影美術館",8,0.5283,"網絡節點","山陰圈",""
"輪王寺",8,0.523,"網絡節點","關東山區溫泉圈",""
"屈斜路湖",8,0.5228,"網絡節點","其他群集",""
"龍頭瀑布",8,0.5201,"網絡節點","關東山區溫泉圈",""
"八甲田山",8,0.51,"孤立","孤立節點",""
"國營常陸海濱公園",8,0.5081,"孤立","孤立節點",""
"商店街",8,0.4953,"孤立","孤立節點",""
"神橋",8,0.4947,"網絡節點","關東山區溫泉圈",""
"福山城",8,0.4899,"網絡節點","宮島・神戶圈",""
"軍艦島",8,0.4896,"孤立","孤立節點",""
"長池親水公園",8,0.4862,"網絡節點","富士山圈",""
"隅田公園",8,0.4849,"網絡節點","東京周邊圈",""
"台灣館",8,0.4804,"網絡節點","其他群集",""
"清津峽",8,0.4762,"孤立","孤立節點",""
"草津溫泉",8,0.4755,"網絡節點","關東山區溫泉圈",""
"本丸",8,0.4669,"孤立","孤立節點",""
"三嶋大社",8,0.4598,"網絡節點","富士山圈",""
"大鳥居",8,0.4587,"網絡節點","宮島・神戶圈",""
"新倉山淺間神社",8,0.4576,"網絡節點","富士山圈",""
"電力館",8,0.4572,"網絡節點","其他群集",""
"新千歲",8,0.456,"網絡節點","富士山圈",""
"黑部立山",8,0.4494,"網絡節點","其他群集",""
"大涌谷",8,0.4492,"網絡節點","富士山圈",""
"下呂溫泉",8,0.4335,"網絡節點","中部日本圈",""
"阿美橫丁",8,0.4294,"網絡節點","東京周邊圈",""
"上野動物園",8,0.4095,"網絡節點","東京周邊圈",""
"丸岡城",8,0.3942,"網絡節點","中部日本圈",""
"平和島溫泉",8,0.3791,"網絡節點","京阪圈",""
"千鳥之淵",8,0.3744,"網絡節點","東京周邊圈",""
"青森",8,0.3633,"孤立","孤立節點",""
"大屋根",8,0.3453,"網絡節點","其他群集",""
